breakeven_R,atr14_pct,atr_ratio_14_90,vol20,vol200,vol_ratio_20_200,range_pct,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,ret20_atr,ret50_atr,pos_in_range50,dist_hh20_atr,mom14,mom_diff,vwap_dist_atr,vwap_slope_atr,rsi14,vol_ratio_volume,gap_open_atr,hour,dow,label,entry_time,label_end_time,origin_bar,entry_bar,entry_price,leg,entry_vs_base_R
3.99626437,0.00550142,0.87195271,0.00454040,0.00640098,0.70932880,0.00501152,1.86769648,2.23280397,7.04584256,3.38026474,3.46450060,0.86098726,-0.22141998,102.05871423,-0.16280060,4.24506138,0.12451770,70.99352349,1.23564926,-0.01684717,0,3,0,2018-01-04 00:15:00,2018-01-04 00:30:00,201,201,15103.80000000,0,0.00000000
4.03621955,0.00525602,0.82488869,0.00468832,0.00640414,0.73207629,0.00660909,1.02900875,1.46148614,6.51528529,2.46299810,2.34408602,0.75700637,-1.05882353,100.84552562,-1.21318861,3.51243680,0.12405403,59.30352663,0.87239001,-0.03542062,0,3,0,2018-01-04 00:30:00,2018-01-04 04:03:00,201,202,15037.10000000,1,-0.73601787
4.03932052,0.00547168,0.85761349,0.00464028,0.00640339,0.72465869,0.00614633,1.17812996,1.64953098,6.49778911,3.09331947,2.79247899,0.79840764,-0.69993935,101.02053816,0.17501254,3.56343291,0.12014200,60.81580443,0.93880726,0.06429252,0,3,0,2018-01-04 00:45:00,2018-01-04 01:09:00,201,203,15071.20000000,2,-0.35973287
4.03679915,0.00553222,0.86826164,0.00424572,0.00639548,0.66386259,0.00441081,1.16958107,1.68964063,6.48521878,4.44806029,2.88704290,0.81544586,-0.56350090,101.05569371,0.03515555,3.54160163,0.10861496,61.10876005,0.96977577,-0.06474266,1,3,0,2018-01-04 01:00:00,2018-01-04 01:09:00,201,204,15071.20000000,3,-0.35973287
4.06550818,0.00572116,0.89139685,0.00460246,0.00641125,0.71787293,0.00924033,-0.12730682,0.35151287,4.98690898,2.39756423,2.73857191,0.64092357,-1.82882883,99.69559107,-1.36010264,2.06985904,0.09991759,46.84784108,1.16422741,-0.02802803,1,3,1,2018-01-04 01:15:00,2018-01-04 02:03:00,205,205,14964.60000000,0,0.00000000
4.03242528,0.00586956,0.92135950,0.00470116,0.00641902,0.73237990,0.00677414,0.66196321,1.14911205,5.63490287,3.14634738,5.04797346,0.75173784,-0.91853410,100.16580545,0.47021439,2.78577132,0.07673739,51.56505343,1.01508439,0.09513793,1,3,0,2018-01-04 01:30:00,2018-01-04 04:03:00,205,206,15050.90000000,1,0.96115722
3.96916162,0.00592063,0.94470371,0.00475615,0.00641941,0.74090205,0.00450051,1.26774504,1.80819654,6.24662850,3.45305014,4.36969019,0.83615931,-0.15873523,100.77905100,0.61324554,3.41039894,0.08695967,56.97396704,1.00554382,0.00223571,1,3,0,2018-01-04 01:45:00,2018-01-04 04:02:00,205,207,15109.60000000,2,1.61492233
3.97385567,0.00662573,1.05678916,0.00536591,0.00648508,0.82742389,0.01382687,2.87056004,3.50598395,7.48594220,3.98254627,5.58955592,0.99559402,-0.02758815,102.06352485,1.28447385,4.97154169,0.08974597,65.02960303,1.30399435,-0.11626434,2,3,0,2018-01-04 02:00:00,2018-01-04 02:47:00,205,208,15306.20000000,3,3.80453426
4.01305765,0.00691696,1.09162856,0.00563822,0.00643642,0.87598804,0.01493046,-1.36519302,-0.63984439,3.33756710,1.20734654,-0.55969067,0.39715376,-3.97196713,99.27053810,-0.98877213,0.57081714,0.08599241,44.39342924,0.84980374,-0.00096665,4,3,0,2018-01-04 04:15:00,2018-01-04 04:31:00,217,217,14955.90000000,0,0.00000000
4.04500510,0.00707055,1.10705491,0.00531536,0.00638002,0.83312541,0.00628610,-1.64249639,-1.06014239,2.77280925,-0.56075906,-1.43842765,0.32365023,-4.37411047,98.86778186,-0.40275624,0.01209784,0.07283234,41.62824914,0.67832087,-0.00094883,4,3,0,2018-01-04 04:30:00,2018-01-04 05:25:00,217,218,14905.80000000,1,-0.55830809
