ticket,signal_time,leg,open_time,close_time,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
1,2018-01-04 00:15:00,0,2018-01-04 00:15:00,2018-01-04 00:30:00,15103.8000,15013.1772,Stop,-0.6000,-1.0000,1
2,2018-01-04 00:15:00,1,2018-01-04 00:30:00,2018-01-04 04:00:00,15037.1000,15002.7418,Stop,-0.2285,-0.3808,14
3,2018-01-04 00:15:00,2,2018-01-04 00:45:00,2018-01-04 01:00:00,15071.2000,14980.7728,Stop,-0.6000,-1.0000,1
4,2018-01-04 00:15:00,3,2018-01-04 01:00:00,2018-01-04 01:00:00,15071.2000,14980.7728,Stop,-0.6000,-1.0000,0
5,2018-01-04 01:15:00,0,2018-01-04 01:15:00,2018-01-04 04:00:00,14964.6000,15001.8678,Stop,0.2490,0.4151,11
6,2018-01-04 01:15:00,1,2018-01-04 01:30:00,2018-01-04 04:00:00,15050.9000,15002.7502,Stop,-0.3199,-0.5332,10
7,2018-01-04 01:15:00,2,2018-01-04 01:45:00,2018-01-04 04:00:00,15109.6000,15018.9424,Stop,-0.6000,-1.0000,9
8,2018-01-04 01:15:00,3,2018-01-04 02:00:00,2018-01-04 02:45:00,15306.2000,15214.3628,Stop,-0.6000,-1.0000,3
9,2018-01-04 04:15:00,0,2018-01-04 04:15:00,2018-01-04 04:30:00,14955.9000,14866.1646,Stop,-0.6000,-1.0000,1
10,2018-01-04 04:15:00,1,2018-01-04 04:30:00,2018-01-04 05:15:00,14905.8000,14816.3652,Stop,-0.6000,-1.0000,3
11,2018-01-04 04:15:00,2,2018-01-04 04:45:00,2018-01-04 05:15:00,14920.4000,14830.8776,Stop,-0.6000,-1.0000,2
12,2018-01-04 05:00:00,0,2018-01-04 05:00:00,2018-01-04 05:15:00,14907.1000,14817.6574,Stop,-0.6000,-1.0000,1
13,2018-01-04 04:15:00,3,2018-01-04 05:00:00,2018-01-04 05:15:00,14907.1000,14817.6574,Stop,-0.6000,-1.0000,1
14,2018-01-04 05:00:00,1,2018-01-04 05:15:00,2018-01-04 08:00:00,14870.3000,14781.0782,Stop,-0.6000,-1.0000,11
15,2018-01-04 05:30:00,0,2018-01-04 05:30:00,2018-01-04 08:15:00,14800.0000,14711.2000,Stop,-0.6000,-1.0000,11
16,2018-01-04 05:00:00,2,2018-01-04 05:30:00,2018-01-04 08:15:00,14800.0000,14711.2000,Stop,-0.6000,-1.0000,11
17,2018-01-04 05:30:00,1,2018-01-04 05:45:00,2018-01-04 07:15:00,14892.5000,14803.1450,Stop,-0.6000,-1.0000,6
18,2018-01-04 05:00:00,3,2018-01-04 05:45:00,2018-01-04 07:15:00,14892.5000,14803.1450,Stop,-0.6000,-1.0000,6
19,2018-01-04 05:30:00,2,2018-01-04 06:00:00,2018-01-04 07:15:00,14891.8000,14802.4492,Stop,-0.6000,-1.0000,5
20,2018-01-04 05:30:00,3,2018-01-04 06:15:00,2018-01-04 06:45:00,15029.5000,14939.3230,Stop,-0.6000,-1.0000,2
21,2018-01-04 21:45:00,0,2018-01-04 21:45:00,2018-01-04 21:45:00,14999.8000,14909.8012,Stop,-0.6000,-1.0000,0
22,2018-01-04 22:00:00,0,2018-01-04 22:00:00,2018-01-05 04:15:00,14891.9000,14802.5486,Stop,-0.6000,-1.0000,25
23,2018-01-04 21:45:00,1,2018-01-04 22:00:00,2018-01-05 04:15:00,14891.9000,14802.5486,Stop,-0.6000,-1.0000,25
24,2018-01-04 22:00:00,1,2018-01-04 22:15:00,2018-01-05 12:45:00,14871.7000,15759.0138,Stop,5.9665,9.9441,58
25,2018-01-04 21:45:00,2,2018-01-04 22:15:00,2018-01-05 12:45:00,14871.7000,15759.0138,Stop,5.9665,9.9441,58
26,2018-01-04 22:00:00,2,2018-01-04 22:30:00,2018-01-05 12:45:00,14872.9000,15762.4464,Stop,5.9810,9.9683,57
27,2018-01-04 21:45:00,3,2018-01-04 22:30:00,2018-01-05 12:45:00,14872.9000,15762.4464,Stop,5.9810,9.9683,57
28,2018-01-04 22:00:00,3,2018-01-04 22:45:00,2018-01-05 04:15:00,14938.0000,14848.3720,Stop,-0.6000,-1.0000,22
29,2018-01-05 07:15:00,0,2018-01-05 07:15:00,2018-01-05 12:30:00,14864.9000,15794.1004,Stop,6.2510,10.4183,21
30,2018-01-05 07:15:00,1,2018-01-05 07:30:00,2018-01-05 12:30:00,14890.4000,15795.8864,Stop,6.0810,10.1350,20
31,2018-01-05 07:15:00,2,2018-01-05 07:45:00,2018-01-05 12:30:00,14899.9000,15805.8087,Stop,6.0800,10.1333,19
32,2018-01-05 07:15:00,3,2018-01-05 08:00:00,2018-01-05 12:30:00,14899.4000,15808.1478,Stop,6.0992,10.1654,18
33,2018-01-05 12:45:00,0,2018-01-05 12:45:00,2018-01-05 12:45:00,15823.7000,15728.7578,Stop,-0.6000,-1.0000,0
34,2018-01-05 13:00:00,0,2018-01-05 13:00:00,2018-01-05 20:45:00,15827.0000,16545.1000,Friday,4.5372,7.5620,31
35,2018-01-05 12:45:00,1,2018-01-05 13:00:00,2018-01-05 20:45:00,15827.0000,16545.1000,Friday,4.5372,7.5620,31
36,2018-01-05 13:00:00,1,2018-01-05 13:15:00,2018-01-05 20:45:00,15856.0000,16545.1000,Friday,4.3460,7.2433,30
