leg,origin_bar,entry_time,entry_price,atr_frozen,momentum_prev,momentum_prev2,vwap_prev,vwap_prev2,upper_barrier,lower_barrier,label,bars_to_label,exit_touch_time
0,201,2018-01-04 00:15:00,15103.80000000,95.30333333,102.05871423,102.22151483,14752.43539960,14742.08797906,15465.95266667,15013.17720000,0,2,2018-01-04 00:30:00
1,201,2018-01-04 00:30:00,15037.10000000,95.83111111,102.05871423,102.22151483,14752.43539960,14742.08797906,15401.25822222,14946.87740000,0,15,2018-01-04 04:03:00
2,201,2018-01-04 00:45:00,15071.20000000,96.12222222,102.05871423,102.22151483,14752.43539960,14742.08797906,15436.46444444,14980.77280000,0,2,2018-01-04 01:09:00
3,201,2018-01-04 01:00:00,15071.20000000,96.06222222,102.05871423,102.22151483,14752.43539960,14742.08797906,15436.23644444,14980.77280000,0,1,2018-01-04 01:09:00
0,205,2018-01-04 01:15:00,14964.60000000,96.06111111,99.69559107,101.05569371,14789.76092712,14781.20512664,15329.63222222,14874.81240000,1,4,2018-01-04 02:03:00
1,205,2018-01-04 01:30:00,15050.90000000,95.82888889,99.69559107,101.05569371,14789.76092712,14781.20512664,15415.04977778,14960.59460000,0,11,2018-01-04 04:03:00
2,205,2018-01-04 01:45:00,15109.60000000,94.69333333,99.69559107,101.05569371,14789.76092712,14781.20512664,15469.43466667,15018.94240000,0,10,2018-01-04 04:02:00
3,205,2018-01-04 02:00:00,15306.20000000,96.03888889,99.69559107,101.05569371,14789.76092712,14781.20512664,15671.14777778,15214.36280000,0,4,2018-01-04 02:47:00
0,217,2018-01-04 04:15:00,14955.90000000,94.76666667,99.27053810,100.25931023,14896.94896644,14888.05305122,15316.01333333,14866.16460000,0,2,2018-01-04 04:31:00
1,217,2018-01-04 04:30:00,14905.80000000,95.20111111,99.27053810,100.25931023,14896.94896644,14888.05305122,15267.56422222,14816.36520000,0,4,2018-01-04 05:25:00
2,217,2018-01-04 04:45:00,14920.40000000,95.31777778,99.27053810,100.25931023,14896.94896644,14888.05305122,15282.60755556,14830.87760000,0,3,2018-01-04 05:24:00
3,217,2018-01-04 05:00:00,14907.10000000,95.11111111,99.27053810,100.25931023,14896.94896644,14888.05305122,15268.52222222,14817.65740000,0,2,2018-01-04 05:25:00
0,220,2018-01-04 05:00:00,14907.10000000,95.11111111,99.10187801,99.68798022,14921.34478559,14912.34704109,15268.52222222,14817.65740000,0,2,2018-01-04 05:25:00
1,220,2018-01-04 05:15:00,14870.30000000,93.91444444,99.10187801,99.68798022,14921.34478559,14912.34704109,15227.17488889,14781.07820000,0,12,2018-01-04 08:12:00
2,220,2018-01-04 05:30:00,14800.00000000,93.85777778,99.10187801,99.68798022,14921.34478559,14912.34704109,15156.65955556,14711.20000000,0,12,2018-01-04 08:24:00
0,222,2018-01-04 05:30:00,14800.00000000,93.85777778,96.60987074,98.41423220,14932.38453904,14927.97179722,15156.65955556,14711.20000000,0,12,2018-01-04 08:24:00
