comparison_keep_pct,method,display_name,requested_keep_pct,actual_keep_pct,trades,net_profit_R,max_dd_R,profit_factor,win_rate_pct
20,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
20,random_kfold,Cách 1 - Random K-Fold,20,20.0029989504,4002,5218.41704952,15.4390079697,6.17144399095,64.3178410795
20,grouped_kfold,Cách 1b - Grouped K-Fold,20,20.0029989504,4002,2988.884788,31.8887083527,2.93291735813,48.5507246377
20,walk_forward,Cách 2 - Walk-forward,20,20.0029989504,4002,1038.84884897,100.82353741,1.53266875551,36.9565217391
20,purged_walk_forward,Cách 3 - Purged Walk-forward,20,20.0029989504,4002,1181.7104941,97.6748648002,1.61395313946,37.9810094953
30,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
30,random_kfold,Cách 1 - Random K-Fold,30,30.0044984256,6003,6573.37367695,23.2416182204,4.37000603384,57.0381475929
30,grouped_kfold,Cách 1b - Grouped K-Fold,30,30.0044984256,6003,3650.37379475,55.1025074884,2.38714160491,44.5443944694
30,walk_forward,Cách 2 - Walk-forward,30,30.0044984256,6003,1390.50923756,162.665592709,1.4623470007,36.265200733
30,purged_walk_forward,Cách 3 - Purged Walk-forward,30,30.0044984256,6003,1336.46822526,153.686587249,1.44659883335,36.3484924205
40,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
40,random_kfold,Cách 1 - Random K-Fold,40,40.0009996501,8003,7246.89085118,33.1617949975,3.31384972132,50.6060227415
40,grouped_kfold,Cách 1b - Grouped K-Fold,40,40.0009996501,8003,4373.36361137,74.9609364261,2.16241274666,41.8468074472
40,walk_forward,Cách 2 - Walk-forward,40,40.0009996501,8003,1770.23220637,178.16665478,1.43170964397,35.5616643759
40,purged_walk_forward,Cách 3 - Purged Walk-forward,40,40.0009996501,8003,1601.11949995,141.494163399,1.39126466994,35.5741596901
50,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
50,random_kfold,Cách 1 - Random K-Fold,50,50.0024991253,10004,7032.04087025,86.4587090554,2.56303637465,44.6721311475
50,grouped_kfold,Cách 1b - Grouped K-Fold,50,50.0024991253,10004,4890.49719175,102.663442493,1.98098022409,39.5141943223
50,walk_forward,Cách 2 - Walk-forward,50,50.0024991253,10004,2235.24025617,207.31135334,1.42703098135,34.7461015594
50,purged_walk_forward,Cách 3 - Purged Walk-forward,50,50.0024991253,10004,2220.01135735,154.110090204,1.42767691936,35.2059176329
60,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
60,random_kfold,Cách 1 - Random K-Fold,60,60.0039986005,12005,6461.33336199,107.360493464,2.09156245198,40.3331945023
60,grouped_kfold,Cách 1b - Grouped K-Fold,60,60.0039986005,12005,4849.9764975,163.230060172,1.77024562435,37.0095793419
60,walk_forward,Cách 2 - Walk-forward,60,60.0039986005,12005,2513.23935607,241.97971489,1.39478178193,34.3606830487
60,purged_walk_forward,Cách 3 - Purged Walk-forward,60,60.0039986005,12005,2446.60263587,208.787152611,1.38553977423,34.2940441483
70,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
70,random_kfold,Cách 1 - Random K-Fold,70,70.0004998251,14005,5869.94935545,128.539588776,1.80031774987,37.2224205641
70,grouped_kfold,Cách 1b - Grouped K-Fold,70,70.0004998251,14005,4704.41981689,190.02486482,1.61883868182,35.2445555159
70,walk_forward,Cách 2 - Walk-forward,70,70.0004998251,14005,2788.47626069,292.357626213,1.36964092237,33.7879328811
70,purged_walk_forward,Cách 3 - Purged Walk-forward,70,70.0004998251,14005,2836.24423643,221.717580045,1.37800735689,33.8736165655
80,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
80,random_kfold,Cách 1 - Random K-Fold,80,80.0019993002,16006,4969.97185026,183.097356724,1.56452876814,34.5308009496
80,grouped_kfold,Cách 1b - Grouped K-Fold,80,80.0019993002,16006,4373.37818039,204.913725293,1.49055951125,33.6561289516
80,walk_forward,Cách 2 - Walk-forward,80,80.0019993002,16006,3153.84791384,273.516982346,1.36201205955,33.5561664376
80,purged_walk_forward,Cách 3 - Purged Walk-forward,80,80.0019993002,16006,3081.93054248,242.508681424,1.35375338192,33.4437086093
