row_id,entry_time,origin_bar,entry_bar,leg,label,ticket,open_time,close_time,signal_time,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward,chunk
0,2018-01-04 00:15:00,201,201,0,0,1,2018-01-04 00:15:00,2018-01-04 00:30:00,2018-01-04 00:15:00,202,15103.8,15013.1772,Stop,-0.6,-1,1,0.079024628366,3,0.138607547068,5,,-1,,-1,1
1,2018-01-04 00:30:00,201,202,1,0,2,2018-01-04 00:30:00,2018-01-04 04:00:00,2018-01-04 00:15:00,216,15037.1,15002.7417778,Stop,-0.228489683664,-0.38081613944,14,0.366952876423,2,0.338466258972,5,,-1,,-1,1
2,2018-01-04 00:45:00,201,203,2,0,3,2018-01-04 00:45:00,2018-01-04 01:00:00,2018-01-04 00:15:00,204,15071.2,14980.7728,Stop,-0.6,-1,1,0.221164965207,3,0.228892255255,5,,-1,,-1,1
3,2018-01-04 01:00:00,201,204,3,0,4,2018-01-04 01:00:00,2018-01-04 01:00:00,2018-01-04 00:15:00,204,15071.2,14980.7728,Stop,-0.6,-1,0,0.274559423858,3,0.338952861414,5,,-1,,-1,1
4,2018-01-04 01:15:00,205,205,0,1,5,2018-01-04 01:15:00,2018-01-04 04:00:00,2018-01-04 01:15:00,216,14964.6,15001.8677778,Stop,0.249039585273,0.415065975455,11,0.268104839055,1,0.352965675224,1,,-1,,-1,1
5,2018-01-04 01:30:00,205,206,1,0,6,2018-01-04 01:30:00,2018-01-04 04:00:00,2018-01-04 01:15:00,216,15050.9,15002.7502222,Stop,-0.319912947251,-0.533188245418,10,0.310715034656,3,0.256550404915,1,,-1,,-1,1
6,2018-01-04 01:45:00,205,207,2,0,7,2018-01-04 01:45:00,2018-01-04 04:00:00,2018-01-04 01:15:00,216,15109.6,15018.9424,Stop,-0.6,-1,9,0.240226284383,3,0.227192267398,1,,-1,,-1,1
7,2018-01-04 02:00:00,205,208,3,0,8,2018-01-04 02:00:00,2018-01-04 02:45:00,2018-01-04 01:15:00,211,15306.2,15214.3628,Stop,-0.6,-1,3,0.0794700352938,1,0.115049593391,1,,-1,,-1,1
8,2018-01-04 04:15:00,217,217,0,0,9,2018-01-04 04:15:00,2018-01-04 04:30:00,2018-01-04 04:15:00,218,14955.9,14866.1646,Stop,-0.6,-1,1,0.254667295724,2,0.25562058759,3,,-1,,-1,1
9,2018-01-04 04:30:00,217,218,1,0,10,2018-01-04 04:30:00,2018-01-04 05:15:00,2018-01-04 04:15:00,221,14905.8,14816.3652,Stop,-0.6,-1,3,0.307960163933,2,0.305338791607,3,,-1,,-1,1
10,2018-01-04 04:45:00,217,219,2,0,11,2018-01-04 04:45:00,2018-01-04 05:15:00,2018-01-04 04:15:00,221,14920.4,14830.8776,Stop,-0.6,-1,2,0.211065846974,5,0.221531712227,3,,-1,,-1,1
11,2018-01-04 05:00:00,220,220,0,0,12,2018-01-04 05:00:00,2018-01-04 05:15:00,2018-01-04 05:00:00,221,14907.1,14817.6574,Stop,-0.6,-1,1,0.260801937601,4,0.30601151116,3,,-1,,-1,1
12,2018-01-04 05:00:00,217,220,3,0,13,2018-01-04 05:00:00,2018-01-04 05:15:00,2018-01-04 04:15:00,221,14907.1,14817.6574,Stop,-0.6,-1,1,0.217942219731,1,0.30601151116,3,,-1,,-1,1
13,2018-01-04 05:15:00,220,221,1,0,14,2018-01-04 05:15:00,2018-01-04 08:00:00,2018-01-04 05:00:00,232,14870.3,14781.0782,Stop,-0.6,-1,11,0.370327783935,5,0.483495677723,3,,-1,,-1,1
14,2018-01-04 05:30:00,222,222,0,0,15,2018-01-04 05:30:00,2018-01-04 08:15:00,2018-01-04 05:30:00,233,14800,14711.2,Stop,-0.6,-1,11,0.169907877625,3,0.170147000788,1,,-1,,-1,1
15,2018-01-04 05:30:00,220,222,2,0,16,2018-01-04 05:30:00,2018-01-04 08:15:00,2018-01-04 05:00:00,233,14800,14711.2,Stop,-0.6,-1,11,0.396619071808,4,0.175554115154,3,,-1,,-1,1
16,2018-01-04 05:45:00,222,223,1,0,17,2018-01-04 05:45:00,2018-01-04 07:15:00,2018-01-04 05:30:00,229,14892.5,14803.145,Stop,-0.6,-1,6,0.136881707722,2,0.104331179264,1,,-1,,-1,1
17,2018-01-04 05:45:00,220,223,3,0,18,2018-01-04 05:45:00,2018-01-04 07:15:00,2018-01-04 05:00:00,229,14892.5,14803.145,Stop,-0.6,-1,6,0.163996999105,3,0.164323651876,3,,-1,,-1,1
18,2018-01-04 06:00:00,222,224,2,0,19,2018-01-04 06:00:00,2018-01-04 07:15:00,2018-01-04 05:30:00,229,14891.8,14802.4492,Stop,-0.6,-1,5,0.191341964878,1,0.165844416997,1,,-1,,-1,1
19,2018-01-04 06:15:00,222,225,3,0,20,2018-01-04 06:15:00,2018-01-04 06:45:00,2018-01-04 05:30:00,227,15029.5,14939.323,Stop,-0.6,-1,2,0.195217169342,5,0.124825276679,1,,-1,,-1,1
20,2018-01-04 21:45:00,287,287,0,0,21,2018-01-04 21:45:00,2018-01-04 21:45:00,2018-01-04 21:45:00,287,14999.8,14909.8012,Stop,-0.6,-1,0,0.278841382736,3,0.280460810604,3,,-1,,-1,1
21,2018-01-04 22:00:00,288,288,0,0,22,2018-01-04 22:00:00,2018-01-05 04:15:00,2018-01-04 22:00:00,313,14891.9,14802.5486,Stop,-0.6,-1,25,0.144642932606,4,0.265835554095,4,,-1,,-1,1
22,2018-01-04 22:00:00,287,288,1,0,23,2018-01-04 22:00:00,2018-01-05 04:15:00,2018-01-04 21:45:00,313,14891.9,14802.5486,Stop,-0.6,-1,25,0.229758488949,1,0.253178104637,3,,-1,,-1,1
23,2018-01-04 22:15:00,288,289,1,1,24,2018-01-04 22:15:00,2018-01-05 12:45:00,2018-01-04 22:00:00,347,14871.7,15759.0137778,Stop,5.96645829177,9.94409715296,58,0.165319638323,4,0.389746562215,4,,-1,,-1,1
24,2018-01-04 22:15:00,287,289,2,1,25,2018-01-04 22:15:00,2018-01-05 12:45:00,2018-01-04 21:45:00,347,14871.7,15759.0137778,Stop,5.96645829177,9.94409715296,58,0.165319638323,4,0.505775024543,3,,-1,,-1,1
25,2018-01-04 22:30:00,288,290,2,1,26,2018-01-04 22:30:00,2018-01-05 12:45:00,2018-01-04 22:00:00,347,14872.9,15762.4464444,Stop,5.98098853919,9.96831423198,57,0.549507315109,2,0.473584281695,4,,-1,,-1,1
26,2018-01-04 22:30:00,287,290,3,1,27,2018-01-04 22:30:00,2018-01-05 12:45:00,2018-01-04 21:45:00,347,14872.9,15762.4464444,Stop,5.98098853919,9.96831423198,57,0.346479562219,4,0.60140861941,3,,-1,,-1,1
27,2018-01-04 22:45:00,288,291,3,0,28,2018-01-04 22:45:00,2018-01-05 04:15:00,2018-01-04 22:00:00,313,14938,14848.372,Stop,-0.6,-1,22,0.274499941374,2,0.260884699796,4,,-1,,-1,1
28,2018-01-05 07:15:00,325,325,0,1,29,2018-01-05 07:15:00,2018-01-05 12:30:00,2018-01-05 07:15:00,346,14864.9,15794.1004444,Stop,6.25097003306,10.4182833884,21,0.514503978707,5,0.23186612196,5,,-1,,-1,1
29,2018-01-05 07:30:00,325,326,1,1,30,2018-01-05 07:30:00,2018-01-05 12:30:00,2018-01-05 07:15:00,346,14890.4,15795.8864444,Stop,6.08100819618,10.1350136603,20,0.461295343217,4,0.277372981419,5,,-1,,-1,1
30,2018-01-05 07:45:00,325,327,2,1,31,2018-01-05 07:45:00,2018-01-05 12:30:00,2018-01-05 07:15:00,346,14899.9,15805.8086667,Stop,6.07996474249,10.1332745708,19,0.518664175424,4,0.289863645248,5,,-1,,-1,1
31,2018-01-05 08:00:00,325,328,3,1,32,2018-01-05 08:00:00,2018-01-05 12:30:00,2018-01-05 07:15:00,346,14899.4,15808.1477778,Stop,6.09922398068,10.1653733011,18,0.537735432111,1,0.311246590925,5,,-1,,-1,1
32,2018-01-05 12:45:00,347,347,0,0,33,2018-01-05 12:45:00,2018-01-05 12:45:00,2018-01-05 12:45:00,347,15823.7,15728.7578,Stop,-0.6,-1,0,0.505679252383,1,0.471652984076,1,,-1,,-1,1
33,2018-01-05 13:00:00,348,348,0,1,34,2018-01-05 13:00:00,2018-01-05 20:45:00,2018-01-05 13:00:00,379,15827,16545.1,Friday,4.53718329437,7.56197215728,31,0.694073102348,1,0.639352074575,2,,-1,,-1,1
34,2018-01-05 13:00:00,347,348,1,1,35,2018-01-05 13:00:00,2018-01-05 20:45:00,2018-01-05 12:45:00,379,15827,16545.1,Friday,4.53718329437,7.56197215728,31,0.62413343789,2,0.615194716889,1,,-1,,-1,1
35,2018-01-05 13:15:00,348,349,1,1,36,2018-01-05 13:15:00,2018-01-05 20:45:00,2018-01-05 13:00:00,379,15856,16545.1,Friday,4.3459889001,7.2433148335,30,0.660741835606,2,0.782108278692,2,,-1,,-1,1
36,2018-01-05 13:15:00,347,349,2,1,37,2018-01-05 13:15:00,2018-01-05 20:45:00,2018-01-05 12:45:00,379,15856,16545.1,Friday,4.3459889001,7.2433148335,30,0.743683283863,4,0.702197082099,1,,-1,,-1,1
37,2018-01-05 13:30:00,348,350,2,1,38,2018-01-05 13:30:00,2018-01-05 20:45:00,2018-01-05 13:00:00,379,15913.6,16545.1,Friday,3.96830384074,6.61383973457,29,0.645322359178,2,0.702673586605,2,,-1,,-1,1
38,2018-01-05 13:30:00,347,350,3,1,39,2018-01-05 13:30:00,2018-01-05 20:45:00,2018-01-05 12:45:00,379,15913.6,16545.1,Friday,3.96830384074,6.61383973457,29,0.756758094817,3,0.573879179689,1,,-1,,-1,1
39,2018-01-05 13:45:00,348,351,3,0,40,2018-01-05 13:45:00,2018-01-05 14:00:00,2018-01-05 13:00:00,352,15932.6,15837.0044,Stop,-0.6,-1,1,0.692430168994,3,0.596903681231,2,,-1,,-1,1
40,2018-01-07 22:00:00,384,384,0,0,41,2018-01-07 22:00:00,2018-01-08 00:00:00,2018-01-07 22:00:00,392,16140,16043.16,Stop,-0.6,-1,8,0.14895923128,5,0.0595772127942,3,,-1,,-1,1
41,2018-01-07 22:15:00,384,385,1,0,42,2018-01-07 22:15:00,2018-01-07 23:30:00,2018-01-07 22:00:00,390,16283.3,16185.6002,Stop,-0.6,-1,5,0.222078239595,4,0.169156224129,3,,-1,,-1,1
42,2018-01-07 22:30:00,384,386,2,0,43,2018-01-07 22:30:00,2018-01-07 23:30:00,2018-01-07 22:00:00,390,16308.3,16210.4502,Stop,-0.6,-1,4,0.323314255204,3,0.274615631974,3,,-1,,-1,1
43,2018-01-07 22:45:00,384,387,3,0,44,2018-01-07 22:45:00,2018-01-07 23:15:00,2018-01-07 22:00:00,389,16394.2,16295.8348,Stop,-0.6,-1,2,0.133730952587,5,0.119604169602,3,,-1,,-1,1
44,2018-01-08 00:15:00,393,393,0,0,45,2018-01-08 00:15:00,2018-01-08 00:45:00,2018-01-08 00:15:00,395,16007.7,15911.6538,Stop,-0.6,-1,2,0.284201380296,2,0.458705290274,4,,-1,,-1,1
45,2018-01-08 00:30:00,393,394,1,0,46,2018-01-08 00:30:00,2018-01-08 00:30:00,2018-01-08 00:15:00,394,16183.9,16086.7966,Stop,-0.6,-1,0,0.394493208679,1,0.459462974045,4,,-1,,-1,1
46,2018-01-08 00:45:00,393,395,2,0,47,2018-01-08 00:45:00,2018-01-08 00:45:00,2018-01-08 00:15:00,395,16087.9,15991.3726,Stop,-0.6,-1,0,0.432252111525,3,0.321242756002,4,,-1,,-1,1
47,2018-01-08 01:00:00,396,396,0,0,48,2018-01-08 01:00:00,2018-01-08 01:00:00,2018-01-08 01:00:00,396,15878.8,15783.5272,Stop,-0.6,-1,0,0.0878156977255,2,0.114693516537,1,,-1,,-1,1
48,2018-01-08 01:00:00,393,396,3,0,49,2018-01-08 01:00:00,2018-01-08 01:00:00,2018-01-08 00:15:00,396,15878.8,15783.5272,Stop,-0.6,-1,0,0.0886804844956,1,0.166047191254,4,,-1,,-1,1
