ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
5002,2019-12-14 09:30:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,0,42808,42815,7134.1,7097.92288889,Stop,-0.507101261702,-0.845168769504,7,5016,2,0.319088667637,2,0.524088504895,3,0.483392041535,1,0.62983272744,1
5003,2019-12-14 09:45:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,1,42809,42815,7134,7097.66955556,Stop,-0.509257701772,-0.848762836287,6,5017,2,0.351670824705,3,0.510661298813,3,0.628267976863,1,0.59239002571,1
5004,2019-12-14 10:00:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,2,42810,42815,7128.3,7097.57666667,Stop,-0.431005054969,-0.718341758281,5,5018,2,0.314164544263,3,0.394313468791,3,0.491312505938,1,0.634848123936,1
5005,2019-12-14 10:15:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,3,42811,42815,7134.3,7097.51755556,Stop,-0.515571877331,-0.859286462219,4,5019,2,0.398140474177,3,0.543024182823,3,0.617891293892,1,0.770064956196,1
5006,2019-12-14 12:00:00,2019-12-14 13:00:00,2019-12-14 11:30:00,42816,2,42818,42822,7126.5,7088.50355556,Stop,-0.533171184234,-0.88861864039,4,5022,2,0.302665147785,1,0.502993857473,3,0.345856583141,1,0.429186528429,1
5007,2019-12-14 12:15:00,2019-12-14 13:00:00,2019-12-14 11:30:00,42816,3,42819,42822,7116.8,7086.59088889,Stop,-0.424476044165,-0.707460073608,3,5023,2,0.410094834851,2,0.377390426238,3,0.783847435369,1,0.603314367833,1
5008,2019-12-14 13:00:00,2019-12-14 14:00:00,2019-12-14 13:00:00,42822,0,42822,42826,7098.7,7063.06177778,Stop,-0.502038714444,-0.83673119074,4,5024,2,0.551902118607,5,0.692175481626,3,0.585705458206,1,0.489570752015,1
5009,2019-12-14 13:15:00,2019-12-14 14:00:00,2019-12-14 13:00:00,42822,1,42823,42826,7085.6,7062.53822222,Stop,-0.325473887572,-0.542456479286,3,5025,2,0.17961785546,1,0.662546206539,3,0.245772508903,1,0.188510792052,1
5010,2019-12-14 13:30:00,2019-12-14 14:00:00,2019-12-14 13:00:00,42822,2,42824,42826,7092.5,7062.14977778,Stop,-0.427919946736,-0.713199911226,2,5026,2,0.594419503745,5,0.720690628968,3,0.573082581171,1,0.32608380657,1
5011,2019-12-14 13:45:00,2019-12-14 14:00:00,2019-12-14 13:00:00,42822,3,42825,42826,7099.5,7060.672,Stop,-0.546911754349,-0.911519590581,1,5027,2,0.493937832397,1,0.608609251836,3,0.346976215831,1,0.293597846893,1
5012,2019-12-14 14:15:00,2019-12-14 15:15:00,2019-12-14 14:15:00,42827,0,42827,42831,7071.9,7056.59466667,Stop,-0.21642462893,-0.360707714884,4,5028,2,0.607107811379,5,0.695603627159,4,0.727378473303,1,0.845319874199,1
5013,2019-12-14 14:30:00,2019-12-14 15:15:00,2019-12-14 14:15:00,42827,1,42828,42831,7076.4,7056.886,Stop,-0.275761686733,-0.459602811222,3,5029,2,0.528975522826,3,0.587905178352,4,0.62265006105,1,0.762880202889,1
5014,2019-12-14 14:45:00,2019-12-14 15:15:00,2019-12-14 14:15:00,42827,2,42829,42831,7085.1,7056.76355556,Stop,-0.399944170787,-0.666573617979,2,5030,2,0.506126222808,4,0.554829163237,4,0.763733935193,1,0.664241854644,1
5015,2019-12-14 15:00:00,2019-12-14 15:15:00,2019-12-14 14:15:00,42827,3,42830,42831,7093.3,7054.65488889,Stop,-0.544811457447,-0.908019095746,1,5031,2,0.242379940496,2,0.595145911313,4,0.497915926055,1,0.468499875947,1
5016,2019-12-14 15:30:00,2019-12-14 15:45:00,2019-12-14 15:30:00,42832,0,42832,42833,7058.6,7022.74155556,Stop,-0.508010716636,-0.846684527726,1,5032,2,0.542956125159,4,0.641714517528,4,0.792109578843,1,0.906392973472,1
5017,2019-12-14 15:45:00,2019-12-14 15:45:00,2019-12-14 15:30:00,42832,1,42833,42833,7032.6,6990.4044,Stop,-0.6,-1,0,5033,2,0.373168274703,2,0.519776445356,4,0.763511667517,1,0.844436138624,1
5018,2019-12-14 16:00:00,2019-12-14 16:00:00,2019-12-14 15:30:00,42832,2,42834,42834,6998,6956.012,Stop,-0.6,-1,0,5035,2,0.283117170809,4,0.467398818998,4,0.196319267516,1,0.218403163972,1
5019,2019-12-14 16:15:00,2019-12-15 00:00:00,2019-12-14 16:00:00,42834,1,42835,42866,6987.4,6991.914,Stop,0.0646019978819,0.10766999647,31,5036,2,0.477403998412,1,0.474826087243,2,0.34064216565,1,0.20520880921,1
5020,2019-12-14 16:15:00,2019-12-15 00:00:00,2019-12-14 15:30:00,42832,3,42835,42866,6987.4,6991.914,Stop,0.0646019978819,0.10766999647,31,5037,2,0.670679745531,5,0.744812895333,4,0.34064216565,1,0.20520880921,1
5021,2019-12-14 18:00:00,2019-12-15 00:00:00,2019-12-14 18:00:00,42842,0,42842,42866,7003.5,6991.98155556,Stop,-0.164466972863,-0.274111621438,24,5040,2,0.160770348681,1,0.603855306899,4,0.595395234451,1,0.385543835328,1
5022,2019-12-14 18:15:00,2019-12-15 00:00:00,2019-12-14 18:00:00,42842,1,42843,42866,7009,6992.15888889,Stop,-0.240278372252,-0.400463953753,23,5041,2,0.371767084898,5,0.684041270653,4,0.496004298079,1,0.437656344345,1
5023,2019-12-14 18:30:00,2019-12-15 00:00:00,2019-12-14 18:00:00,42842,2,42844,42866,7017.7,6992.18,Stop,-0.363651908745,-0.606086514575,22,5042,2,0.451044461175,5,0.612784742705,4,0.493706010881,1,0.28476661847,1
5024,2019-12-14 18:45:00,2019-12-15 00:00:00,2019-12-14 18:00:00,42842,3,42845,42866,7035.8,6993.5852,Stop,-0.6,-1,21,5043,2,0.372343791321,3,0.573266215453,4,0.141879765353,1,0.125830684255,1
5025,2019-12-15 00:15:00,2019-12-15 07:15:00,2019-12-15 00:15:00,42867,0,42867,42895,6991.4,7005.00911111,Stop,0.194655020613,0.324425034354,28,5044,2,0.794513231508,2,0.478054280312,2,0.525560560825,1,0.299283160224,1
5026,2019-12-15 15:30:00,2019-12-16 00:30:00,2019-12-15 15:30:00,42928,0,42928,42964,7056,7017.67066667,Stop,-0.543216175359,-0.905360292265,36,5048,2,0.286247564945,2,0.686346098315,1,0.478267042881,1,0.75908629221,1
5027,2019-12-15 15:45:00,2019-12-16 00:30:00,2019-12-15 15:30:00,42928,1,42929,42964,7042,7017.60311111,Stop,-0.346448294361,-0.577413823935,35,5049,2,0.281127954119,3,0.553148782481,1,0.178402208033,1,0.31432638149,1
5028,2019-12-15 16:00:00,2019-12-16 00:30:00,2019-12-15 15:30:00,42928,2,42930,42964,7055.4,7017.278,Stop,-0.540323723673,-0.900539539454,34,5050,2,0.277620129126,4,0.608502738034,1,0.586508804297,1,0.637456832545,1
5029,2019-12-15 16:15:00,2019-12-16 00:30:00,2019-12-15 15:30:00,42928,3,42931,42964,7055.1,7017.15555556,Stop,-0.537830001622,-0.896383336037,33,5051,2,0.420344398964,3,0.656141626734,1,0.284374028464,1,0.318606870502,1
5030,2019-12-16 12:00:00,2019-12-16 15:15:00,2019-12-16 12:00:00,43010,0,43010,43023,7022.6,7033.43155556,Stop,0.1542385378,0.257064229667,13,5052,2,0.759798573842,4,0.824146206274,4,0.420018614292,1,0.394378131459,1
5031,2019-12-16 12:15:00,2019-12-16 15:15:00,2019-12-16 12:00:00,43010,1,43011,43023,7023.5,7033.50755556,Stop,0.142486731054,0.237477885089,12,5053,2,0.699294567224,1,0.827786478095,4,0.5918166806,1,0.507286734365,1
5032,2019-12-16 12:30:00,2019-12-16 15:15:00,2019-12-16 12:00:00,43010,2,43012,43023,7018.6,7033.28377778,Stop,0.209212346875,0.348687244792,11,5054,2,0.670133297789,4,0.818610573844,4,0.504609061749,1,0.469604087563,1
5033,2019-12-16 12:45:00,2019-12-16 15:15:00,2019-12-16 12:00:00,43010,3,43013,43023,7024.5,7033.84955556,Stop,0.133099232053,0.221832053421,10,5055,2,0.849360398531,3,0.841899957918,4,0.678465347831,1,0.640771023227,1
5034,2019-12-16 15:30:00,2019-12-16 18:15:00,2019-12-16 15:30:00,43024,0,43024,43035,7022.7,6995.718,Stop,-0.38421120082,-0.640352001367,11,5056,2,0.634290338592,3,0.725607868281,4,0.396288424394,1,0.320350374842,1
5035,2019-12-16 15:45:00,2019-12-16 18:15:00,2019-12-16 15:30:00,43024,1,43025,43035,7028.6,6995.376,Stop,-0.472697265458,-0.787828775764,10,5057,2,0.558652029775,3,0.711997611178,4,0.395675464459,1,0.482323852665,1
