ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
5002,2019-12-14 09:45:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,1,42809,42815,7134,7097.66955556,Stop,-0.509257701772,-0.848762836287,6,5017,2,0.4049684424,3,0.613722163652,3,0.628267976863,1,0.59239002571,1
5003,2019-12-14 10:15:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,3,42811,42815,7134.3,7097.51755556,Stop,-0.515571877331,-0.859286462219,4,5019,2,0.417661758646,3,0.534269560228,3,0.617891293892,1,0.770064956196,1
5004,2019-12-14 12:00:00,2019-12-14 13:00:00,2019-12-14 11:30:00,42816,2,42818,42822,7126.5,7088.50355556,Stop,-0.533171184234,-0.88861864039,4,5022,2,0.377079056137,1,0.521448643845,3,0.345856583141,1,0.429186528429,1
5005,2019-12-14 13:00:00,2019-12-14 14:00:00,2019-12-14 13:00:00,42822,0,42822,42826,7098.7,7063.06177778,Stop,-0.502038714444,-0.83673119074,4,5024,2,0.463467005144,5,0.766496164401,3,0.585705458206,1,0.489570752015,1
5006,2019-12-14 13:30:00,2019-12-14 14:00:00,2019-12-14 13:00:00,42822,2,42824,42826,7092.5,7062.14977778,Stop,-0.427919946736,-0.713199911226,2,5026,2,0.552330539712,5,0.720754616635,3,0.573082581171,1,0.32608380657,1
5007,2019-12-14 13:45:00,2019-12-14 14:00:00,2019-12-14 13:00:00,42822,3,42825,42826,7099.5,7060.672,Stop,-0.546911754349,-0.911519590581,1,5027,2,0.564689483969,1,0.573091230629,3,0.346976215831,1,0.293597846893,1
5008,2019-12-14 14:15:00,2019-12-14 15:15:00,2019-12-14 14:15:00,42827,0,42827,42831,7071.9,7056.59466667,Stop,-0.21642462893,-0.360707714884,4,5028,2,0.619903637697,5,0.676897847792,4,0.727378473303,1,0.845319874199,1
5009,2019-12-14 14:30:00,2019-12-14 15:15:00,2019-12-14 14:15:00,42827,1,42828,42831,7076.4,7056.886,Stop,-0.275761686733,-0.459602811222,3,5029,2,0.46011340188,3,0.657983148479,4,0.62265006105,1,0.762880202889,1
5010,2019-12-14 14:45:00,2019-12-14 15:15:00,2019-12-14 14:15:00,42827,2,42829,42831,7085.1,7056.76355556,Stop,-0.399944170787,-0.666573617979,2,5030,2,0.528653549321,4,0.704839165314,4,0.763733935193,1,0.664241854644,1
5011,2019-12-14 15:30:00,2019-12-14 15:45:00,2019-12-14 15:30:00,42832,0,42832,42833,7058.6,7022.74155556,Stop,-0.508010716636,-0.846684527726,1,5032,2,0.608107028386,4,0.740384279793,4,0.792109578843,1,0.906392973472,1
5012,2019-12-14 16:15:00,2019-12-15 00:00:00,2019-12-14 16:00:00,42834,1,42835,42866,6987.4,6991.914,Stop,0.0646019978819,0.10766999647,31,5036,2,0.485102522671,1,0.486184997743,2,0.34064216565,1,0.20520880921,1
5013,2019-12-14 16:15:00,2019-12-15 00:00:00,2019-12-14 15:30:00,42832,3,42835,42866,6987.4,6991.914,Stop,0.0646019978819,0.10766999647,31,5037,2,0.592205774844,5,0.761669195296,4,0.34064216565,1,0.20520880921,1
5014,2019-12-14 16:30:00,2019-12-15 00:00:00,2019-12-14 16:00:00,42834,2,42836,42866,6991,6990.98511111,Stop,-0.000212972234137,-0.000354953723562,30,5038,2,0.415130412594,5,0.233779860203,2,0.706823463324,1,0.474824678483,1
