method,fold,train_size,test_size,train_positive_rate,test_positive_rate,roc_auc,f1
random_kfold,1,20006,5002,0.262521243627,0.257896841263,0.854813218391,0.637149775164
random_kfold,2,20006,5002,0.262271318604,0.258896441423,0.867095852259,0.668290985033
random_kfold,3,20006,5002,0.261871438568,0.260495801679,0.869800533093,0.662948762635
random_kfold,4,20007,5001,0.259809066827,0.26874625075,0.86242769086,0.67050067659
random_kfold,5,20007,5001,0.261508472035,0.261947610478,0.858569534725,0.655726256983
grouped_kfold,1,20004,5004,0.263797240552,0.252797761791,0.720251552115,0.481213872832
grouped_kfold,2,20004,5004,0.262897420516,0.256394884093,0.730663716267,0.498909090909
grouped_kfold,3,20008,5000,0.256097560976,0.2836,0.748981744642,0.535631421942
grouped_kfold,4,20008,5000,0.262145141943,0.2594,0.729116882246,0.473609129815
grouped_kfold,5,20008,5000,0.263044782087,0.2558,0.761580775091,0.524341868013
walk_forward,1,5001,5002,0.276344731054,0.257297081168,0.611951380457,0.269902912621
walk_forward,2,10003,5001,0.266819954014,0.239152169566,0.550869741011,0.260457093575
walk_forward,3,15004,5002,0.257597973874,0.286085565774,0.549641778117,0.367651447329
walk_forward,4,20006,5002,0.264720583825,0.249100359856,0.640427856895,0.404383174267
purged_walk_forward,1,4980,5002,0.277510040161,0.257297081168,0.61850244865,0.271152894607
purged_walk_forward,2,10000,5001,0.2668,0.239152169566,0.559010982733,0.259112867809
purged_walk_forward,3,14996,5002,0.257468658309,0.286085565774,0.561935859976,0.376160527104
purged_walk_forward,4,20004,5002,0.264647070586,0.249100359856,0.622931185972,0.383571179951
