method,row_id,entry_time,label_end_time,origin_bar,entry_bar,entry_price,leg,entry_vs_base_R,label,fold,probability
grouped_kfold,0,2018-01-04 00:15:00,2018-01-04 00:30:00,201,201,15103.8,0,0,0,5,0.138607547068
grouped_kfold,1,2018-01-04 00:30:00,2018-01-04 04:03:00,201,202,15037.1,1,-0.73601787,0,5,0.338466258972
grouped_kfold,2,2018-01-04 00:45:00,2018-01-04 01:09:00,201,203,15071.2,2,-0.35973287,0,5,0.228892255255
grouped_kfold,3,2018-01-04 01:00:00,2018-01-04 01:09:00,201,204,15071.2,3,-0.35973287,0,5,0.338952861414
grouped_kfold,4,2018-01-04 01:15:00,2018-01-04 02:03:00,205,205,14964.6,0,0,1,1,0.381472623107
grouped_kfold,5,2018-01-04 01:30:00,2018-01-04 04:03:00,205,206,15050.9,1,0.96115722,0,1,0.408856152878
grouped_kfold,6,2018-01-04 01:45:00,2018-01-04 04:02:00,205,207,15109.6,2,1.61492233,0,1,0.266842257849
grouped_kfold,7,2018-01-04 02:00:00,2018-01-04 02:47:00,205,208,15306.2,3,3.80453426,0,1,0.0595671159199
grouped_kfold,8,2018-01-04 04:15:00,2018-01-04 04:31:00,217,217,14955.9,0,0,0,3,0.263311551471
grouped_kfold,9,2018-01-04 04:30:00,2018-01-04 05:25:00,217,218,14905.8,1,-0.55830809,0,3,0.303592298923
grouped_kfold,10,2018-01-04 04:45:00,2018-01-04 05:24:00,217,219,14920.4,2,-0.39560753,0,3,0.181211218422
grouped_kfold,11,2018-01-04 05:00:00,2018-01-04 05:25:00,220,220,14907.1,0,0,0,3,0.296396765103
grouped_kfold,12,2018-01-04 05:00:00,2018-01-04 05:25:00,217,220,14907.1,3,-0.54382106,0,3,0.296396765103
grouped_kfold,13,2018-01-04 05:15:00,2018-01-04 08:12:00,220,221,14870.3,1,-0.41143706,0,3,0.526789128064
grouped_kfold,14,2018-01-04 05:30:00,2018-01-04 08:24:00,222,222,14800,0,0,0,1,0.18928556473
grouped_kfold,15,2018-01-04 05:30:00,2018-01-04 08:24:00,220,222,14800,2,-1.197416,0,3,0.265579267387
grouped_kfold,16,2018-01-04 05:45:00,2018-01-04 07:17:00,222,223,14892.5,1,1.04166667,0,1,0.0856447349822
grouped_kfold,17,2018-01-04 05:45:00,2018-01-04 07:17:00,220,223,14892.5,3,-0.16323318,0,3,0.193374392453
grouped_kfold,18,2018-01-04 06:00:00,2018-01-04 07:17:00,222,224,14891.8,2,1.03378378,0,1,0.175510111325
grouped_kfold,19,2018-01-04 06:15:00,2018-01-04 06:51:00,222,225,15029.5,3,2.58445946,0,1,0.148672595706
grouped_kfold,20,2018-01-04 21:45:00,2018-01-04 21:55:00,287,287,14999.8,0,0,0,3,0.275428862678
grouped_kfold,21,2018-01-04 22:00:00,2018-01-05 04:29:00,288,288,14891.9,0,0,0,4,0.265835028162
grouped_kfold,22,2018-01-04 22:00:00,2018-01-05 04:29:00,287,288,14891.9,1,-1.19890487,0,3,0.29494182527
grouped_kfold,23,2018-01-04 22:15:00,2018-01-05 08:55:00,288,289,14871.7,1,-0.22607368,1,4,0.389746109954
grouped_kfold,24,2018-01-04 22:15:00,2018-01-05 08:55:00,287,289,14871.7,2,-1.42335231,1,3,0.494257726703
grouped_kfold,25,2018-01-04 22:30:00,2018-01-05 08:55:00,288,290,14872.9,2,-0.21264356,1,4,0.473583950599
grouped_kfold,26,2018-01-04 22:30:00,2018-01-05 08:55:00,287,290,14872.9,3,-1.4100188,1,3,0.536871278583
grouped_kfold,27,2018-01-04 22:45:00,2018-01-05 04:28:00,288,291,14938,3,0.51594043,0,4,0.260884561053
grouped_kfold,28,2018-01-05 07:15:00,2018-01-05 08:54:00,325,325,14864.9,0,0,1,5,0.23186612196
grouped_kfold,29,2018-01-05 07:30:00,2018-01-05 08:55:00,325,326,14890.4,1,0.28590842,1,5,0.277372981419
grouped_kfold,30,2018-01-05 07:45:00,2018-01-05 08:55:00,325,327,14899.9,2,0.39242331,1,5,0.289863645248
grouped_kfold,31,2018-01-05 08:00:00,2018-01-05 08:55:00,325,328,14899.4,3,0.38681727,1,5,0.311246590925
grouped_kfold,32,2018-01-05 12:45:00,2018-01-05 12:52:00,347,347,15823.7,0,0,0,1,0.481537091773
grouped_kfold,33,2018-01-05 13:00:00,2018-01-05 16:19:00,348,348,15827,0,0,1,2,0.616708798097
grouped_kfold,34,2018-01-05 13:00:00,2018-01-05 16:19:00,347,348,15827,1,0.03475799,1,1,0.601715077851
grouped_kfold,35,2018-01-05 13:15:00,2018-01-05 16:27:00,348,349,15856,1,0.30538531,1,2,0.777240331933
grouped_kfold,36,2018-01-05 13:15:00,2018-01-05 16:27:00,347,349,15856,2,0.34020699,1,1,0.662130855862
grouped_kfold,37,2018-01-05 13:30:00,2018-01-05 16:29:00,348,350,15913.6,2,0.91194372,1,2,0.691205450242
grouped_kfold,38,2018-01-05 13:30:00,2018-01-05 16:29:00,347,350,15913.6,3,0.9468919,1,1,0.588045392531
grouped_kfold,39,2018-01-05 13:45:00,2018-01-05 14:03:00,348,351,15932.6,3,1.11202376,0,2,0.611109127183
grouped_kfold,40,2018-01-07 22:00:00,2018-01-08 00:04:00,384,384,16140,0,0,0,3,0.0897392912588
grouped_kfold,41,2018-01-07 22:15:00,2018-01-07 23:35:00,384,385,16283.3,1,1.47976043,0,3,0.160144013005
grouped_kfold,42,2018-01-07 22:30:00,2018-01-07 23:34:00,384,386,16308.3,2,1.73791822,0,3,0.204258578628
grouped_kfold,43,2018-01-07 22:45:00,2018-01-07 23:20:00,384,387,16394.2,3,2.62494837,0,3,0.159339334359
grouped_kfold,44,2018-01-08 00:15:00,2018-01-08 00:59:00,393,393,16007.7,0,0,0,4,0.458705281849
grouped_kfold,45,2018-01-08 00:30:00,2018-01-08 00:40:00,393,394,16183.9,1,1.8345338,0,4,0.459462916594
grouped_kfold,46,2018-01-08 00:45:00,2018-01-08 00:58:00,393,395,16087.9,2,0.83501482,0,4,0.321242666342
grouped_kfold,47,2018-01-08 01:00:00,2018-01-08 01:08:00,396,396,15878.8,0,0,0,1,0.143931789159
grouped_kfold,48,2018-01-08 01:00:00,2018-01-08 01:08:00,393,396,15878.8,3,-1.34206247,0,4,0.166047148825
grouped_kfold,49,2018-01-08 01:15:00,2018-01-08 03:13:00,397,397,15776.3,0,0,0,4,0.064647855586
grouped_kfold,50,2018-01-08 01:15:00,2018-01-08 03:13:00,396,397,15776.3,1,-1.07585796,0,1,0.0255179164404
grouped_kfold,51,2018-01-08 01:30:00,2018-01-08 03:13:00,397,398,15778.3,1,0.02112874,0,4,0.0541662003111
grouped_kfold,52,2018-01-08 01:30:00,2018-01-08 03:13:00,396,398,15778.3,2,-1.05486561,0,1,0.045517287763
grouped_kfold,53,2018-01-08 01:45:00,2018-01-08 03:20:00,397,399,15710.4,2,-0.69619197,0,4,0.116969923595
grouped_kfold,54,2018-01-08 01:45:00,2018-01-08 03:20:00,396,399,15710.4,3,-1.7675559,0,1,0.179303685354
grouped_kfold,55,2018-01-08 02:00:00,2018-01-08 03:11:00,397,400,15834.1,3,0.61062057,0,4,0.243281808158
grouped_kfold,56,2018-01-08 03:15:00,2018-01-08 03:22:00,405,405,15661.4,0,0,0,1,0.15810720022
grouped_kfold,57,2018-01-08 03:30:00,2018-01-08 08:49:00,406,406,15561.3,0,0,0,1,0.321298929458
grouped_kfold,58,2018-01-08 03:30:00,2018-01-08 08:49:00,405,406,15561.3,1,-1.06525172,0,1,0.321298929458
grouped_kfold,59,2018-01-08 03:45:00,2018-01-08 03:51:00,406,407,15616.4,1,0.59013921,0,1,0.259592197985
grouped_kfold,60,2018-01-08 03:45:00,2018-01-08 03:51:00,405,407,15616.4,2,-0.47888439,0,1,0.259592197985
grouped_kfold,61,2018-01-08 04:00:00,2018-01-08 08:54:00,406,408,15551.9,2,-0.10067711,0,1,0.166854954923
grouped_kfold,62,2018-01-08 04:00:00,2018-01-08 08:54:00,405,408,15551.9,3,-1.16528535,0,1,0.166854954923
grouped_kfold,63,2018-01-08 04:15:00,2018-01-08 04:37:00,406,409,15707.5,3,1.56585033,0,1,0.181409216518
grouped_kfold,64,2018-01-08 09:00:00,2018-01-08 09:12:00,428,428,15412.4,0,0,0,3,0.251268878391
grouped_kfold,65,2018-01-08 09:15:00,2018-01-08 09:59:00,429,429,15259.7,0,0,0,3,0.218384999669
grouped_kfold,66,2018-01-08 09:15:00,2018-01-08 09:59:00,428,429,15259.7,1,-1.65126781,0,3,0.218384999669
grouped_kfold,67,2018-01-08 09:30:00,2018-01-08 09:59:00,429,430,15234.8,1,-0.27195816,0,3,0.147040356266
grouped_kfold,68,2018-01-08 09:30:00,2018-01-08 09:59:00,428,430,15234.8,2,-1.92053152,0,3,0.147040356266
grouped_kfold,69,2018-01-08 09:45:00,2018-01-08 09:58:00,429,431,15285.6,2,0.28288018,0,3,0.192434044435
grouped_kfold,70,2018-01-08 09:45:00,2018-01-08 09:58:00,428,431,15285.6,3,-1.3711903,0,3,0.192434044435
grouped_kfold,71,2018-01-08 10:00:00,2018-01-08 13:18:00,432,432,15132,0,0,0,2,0.258232400714
grouped_kfold,72,2018-01-08 10:00:00,2018-01-08 13:18:00,429,432,15132,3,-1.39474127,0,3,0.197290620852
grouped_kfold,73,2018-01-08 10:15:00,2018-01-08 13:18:00,432,433,15147.2,1,0.16741563,0,2,0.317815022292
grouped_kfold,74,2018-01-08 10:30:00,2018-01-08 13:17:00,432,434,15225.5,2,1.02982642,0,2,0.0722881586048
grouped_kfold,75,2018-01-08 10:45:00,2018-01-08 13:16:00,432,435,15249.4,3,1.29306547,0,2,0.202314680772
grouped_kfold,76,2018-01-08 16:00:00,2018-01-08 19:25:00,456,456,14480.7,0,0,1,4,0.148081358882
grouped_kfold,77,2018-01-08 16:15:00,2018-01-08 16:34:00,456,457,14719.7,1,2.75078783,0,4,0.147454474861
grouped_kfold,78,2018-01-08 16:30:00,2018-01-08 16:36:00,456,458,14676.1,2,2.24897047,0,4,0.209825303205
grouped_kfold,79,2018-01-08 16:45:00,2018-01-08 17:31:00,456,459,14740.2,3,2.98673407,0,4,0.20603937607
grouped_kfold,80,2018-01-11 00:15:00,2018-01-11 00:38:00,681,681,14749.2,0,0,0,1,0.0455421164043
grouped_kfold,81,2018-01-11 00:30:00,2018-01-11 00:35:00,681,682,14798.7,1,0.55935237,0,1,0.0515360992355
grouped_kfold,82,2018-01-11 00:45:00,2018-01-11 01:01:00,683,683,14660.6,0,0,0,5,0.0898859949042
grouped_kfold,83,2018-01-11 00:45:00,2018-01-11 01:01:00,681,683,14660.6,2,-1.00118425,0,1,0.0916031963461
grouped_kfold,84,2018-01-11 01:00:00,2018-01-11 01:17:00,683,684,14612.9,1,-0.54226976,0,5,0.149736469718
