comparison_keep_pct,method,display_name,requested_keep_pct,actual_keep_pct,trades,net_profit_R,max_dd_R,profit_factor,win_rate_pct
20,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
20,random_kfold,Cách 1 - Random K-Fold,20,20.0029989504,4002,5248.15757365,13.4910118122,6.32567024981,64.8175912044
20,grouped_kfold,Cách 1b - Grouped K-Fold,20,20.0029989504,4002,2803.94484674,33.2734163004,2.79785548747,48.2258870565
20,walk_forward,Cách 2 - Walk-forward,20,20.0029989504,4002,1056.59882095,103.860631887,1.54627222274,37.2063968016
20,purged_walk_forward,Cách 3 - Purged Walk-forward,20,20.0029989504,4002,1266.26363657,86.4850470346,1.65979682822,38.255872064
30,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
30,random_kfold,Cách 1 - Random K-Fold,30,30.0044984256,6003,6640.38329482,23.9081503975,4.40361195008,57.0214892554
30,grouped_kfold,Cách 1b - Grouped K-Fold,30,30.0044984256,6003,3696.1587639,47.2870175228,2.41478330439,44.7609528569
30,walk_forward,Cách 2 - Walk-forward,30,30.0044984256,6003,1327.33356584,159.634301902,1.44085789954,36.265200733
30,purged_walk_forward,Cách 3 - Purged Walk-forward,30,30.0044984256,6003,1381.01947779,149.360717003,1.46227753536,36.398467433
40,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
40,random_kfold,Cách 1 - Random K-Fold,40,40.0009996501,8003,7136.31468202,34.5923069308,3.27810505992,50.581032113
40,grouped_kfold,Cách 1b - Grouped K-Fold,40,40.0009996501,8003,4325.21517055,67.2222681845,2.14919454657,41.834312133
40,walk_forward,Cách 2 - Walk-forward,40,40.0009996501,8003,1695.46224651,157.92799589,1.41154757106,35.3367487192
40,purged_walk_forward,Cách 3 - Purged Walk-forward,40,40.0009996501,8003,1674.6617141,144.959246585,1.41074802872,35.6741222042
50,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
50,random_kfold,Cách 1 - Random K-Fold,50,50.0024991253,10004,6937.53476724,73.7647865271,2.5437365568,44.6521391443
50,grouped_kfold,Cách 1b - Grouped K-Fold,50,50.0024991253,10004,4752.04217114,99.7093146848,1.95000124355,39.2642942823
50,walk_forward,Cách 2 - Walk-forward,50,50.0024991253,10004,2148.30521167,211.293790488,1.41165125232,34.756097561
50,purged_walk_forward,Cách 3 - Purged Walk-forward,50,50.0024991253,10004,2119.47819179,142.364325564,1.40735113276,34.9860055978
60,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
60,random_kfold,Cách 1 - Random K-Fold,60,60.0039986005,12005,6451.09774509,110.817436592,2.08717257879,40.3165347772
60,grouped_kfold,Cách 1b - Grouped K-Fold,60,60.0039986005,12005,4772.24069293,150.799122952,1.75809114563,37.0762182424
60,walk_forward,Cách 2 - Walk-forward,60,60.0039986005,12005,2575.05618806,240.175448628,1.40510574388,34.3690129113
60,purged_walk_forward,Cách 3 - Purged Walk-forward,60,60.0039986005,12005,2323.8506268,208.787152611,1.36415918937,34.1191170346
70,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
70,random_kfold,Cách 1 - Random K-Fold,70,70.0004998251,14005,5800.28498318,136.660011665,1.78801164239,37.1367368797
70,grouped_kfold,Cách 1b - Grouped K-Fold,70,70.0004998251,14005,4521.23377367,191.832817962,1.59252748128,35.0803284541
70,walk_forward,Cách 2 - Walk-forward,70,70.0004998251,14005,2760.57796265,283.50732769,1.36639479785,33.7450910389
70,purged_walk_forward,Cách 3 - Purged Walk-forward,70,70.0004998251,14005,2688.95987252,221.191855251,1.35778825448,33.773652267
80,baseline,Baseline,100,100,20007,3358.25107471,236.126175479,1.29397332599,31.713900135
80,random_kfold,Cách 1 - Random K-Fold,80,80.0019993002,16006,4980.00429114,178.175461035,1.56646330189,34.6120204923
80,grouped_kfold,Cách 1b - Grouped K-Fold,80,80.0019993002,16006,4297.69744367,193.954197391,1.48168926341,33.6311383231
80,walk_forward,Cách 2 - Walk-forward,80,80.0019993002,16006,3120.69252423,273.516982346,1.35810485605,33.4999375234
80,purged_walk_forward,Cách 3 - Purged Walk-forward,80,80.0019993002,16006,3061.28859971,240.508681424,1.35100481157,33.381232038
