ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
1,2018-01-04 00:15:00,2018-01-04 00:30:00,2018-01-04 00:15:00,201,0,201,202,15103.8,15013.1772,Stop,-0.6,-1,1
2,2018-01-04 00:30:00,2018-01-04 04:00:00,2018-01-04 00:15:00,201,1,202,216,15037.1,15002.7417778,Stop,-0.228489683664,-0.38081613944,14
3,2018-01-04 00:45:00,2018-01-04 01:00:00,2018-01-04 00:15:00,201,2,203,204,15071.2,14980.7728,Stop,-0.6,-1,1
4,2018-01-04 01:00:00,2018-01-04 01:00:00,2018-01-04 00:15:00,201,3,204,204,15071.2,14980.7728,Stop,-0.6,-1,0
5,2018-01-04 01:15:00,2018-01-04 04:00:00,2018-01-04 01:15:00,205,0,205,216,14964.6,15001.8677778,Stop,0.249039585273,0.415065975455,11
6,2018-01-04 01:30:00,2018-01-04 04:00:00,2018-01-04 01:15:00,205,1,206,216,15050.9,15002.7502222,Stop,-0.319912947251,-0.533188245418,10
7,2018-01-04 01:45:00,2018-01-04 04:00:00,2018-01-04 01:15:00,205,2,207,216,15109.6,15018.9424,Stop,-0.6,-1,9
8,2018-01-04 02:00:00,2018-01-04 02:45:00,2018-01-04 01:15:00,205,3,208,211,15306.2,15214.3628,Stop,-0.6,-1,3
9,2018-01-04 04:15:00,2018-01-04 04:30:00,2018-01-04 04:15:00,217,0,217,218,14955.9,14866.1646,Stop,-0.6,-1,1
10,2018-01-04 04:30:00,2018-01-04 05:15:00,2018-01-04 04:15:00,217,1,218,221,14905.8,14816.3652,Stop,-0.6,-1,3
11,2018-01-04 04:45:00,2018-01-04 05:15:00,2018-01-04 04:15:00,217,2,219,221,14920.4,14830.8776,Stop,-0.6,-1,2
12,2018-01-04 05:00:00,2018-01-04 05:15:00,2018-01-04 05:00:00,220,0,220,221,14907.1,14817.6574,Stop,-0.6,-1,1
13,2018-01-04 05:00:00,2018-01-04 05:15:00,2018-01-04 04:15:00,217,3,220,221,14907.1,14817.6574,Stop,-0.6,-1,1
14,2018-01-04 05:15:00,2018-01-04 08:00:00,2018-01-04 05:00:00,220,1,221,232,14870.3,14781.0782,Stop,-0.6,-1,11
15,2018-01-04 05:30:00,2018-01-04 08:15:00,2018-01-04 05:30:00,222,0,222,233,14800,14711.2,Stop,-0.6,-1,11
16,2018-01-04 05:30:00,2018-01-04 08:15:00,2018-01-04 05:00:00,220,2,222,233,14800,14711.2,Stop,-0.6,-1,11
17,2018-01-04 05:45:00,2018-01-04 07:15:00,2018-01-04 05:30:00,222,1,223,229,14892.5,14803.145,Stop,-0.6,-1,6
18,2018-01-04 05:45:00,2018-01-04 07:15:00,2018-01-04 05:00:00,220,3,223,229,14892.5,14803.145,Stop,-0.6,-1,6
19,2018-01-04 06:00:00,2018-01-04 07:15:00,2018-01-04 05:30:00,222,2,224,229,14891.8,14802.4492,Stop,-0.6,-1,5
20,2018-01-04 06:15:00,2018-01-04 06:45:00,2018-01-04 05:30:00,222,3,225,227,15029.5,14939.323,Stop,-0.6,-1,2
21,2018-01-04 21:45:00,2018-01-04 21:45:00,2018-01-04 21:45:00,287,0,287,287,14999.8,14909.8012,Stop,-0.6,-1,0
