ticket,open_time,close_time,signal_time,origin_bar,leg,entry_bar,exit_bar,entry_price,exit_price,exit_reason,pl_pct,R,bars_held,row_id,chunk,probability_random_kfold,fold_random_kfold,probability_grouped_kfold,fold_grouped_kfold,probability_walk_forward,fold_walk_forward,probability_purged_walk_forward,fold_purged_walk_forward
5002,2019-12-13 23:00:00,2019-12-13 23:00:00,2019-12-13 23:00:00,42766,0,42766,42766,7194.7,7195.9,Friday,0.0166789442228,0.0277982403714,0,5001,2,0.0628769163718,4,0.142529612717,3,0.0193129648433,1,0.371005071231,1
5003,2019-12-13 23:00:00,2019-12-13 23:00:00,2019-12-13 22:45:00,42765,1,42766,42766,7194.7,7195.9,Friday,0.0166789442228,0.0277982403714,0,5002,2,0.0719141248587,1,0.0704900494588,2,0.0193129648433,1,0.371005071231,1
5004,2019-12-14 09:30:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,0,42808,42815,7134.1,7097.92288889,Stop,-0.507101261702,-0.845168769504,7,5016,2,0.286357131926,2,0.625631095152,3,0.483392041535,1,0.62983272744,1
5005,2019-12-14 09:45:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,1,42809,42815,7134,7097.66955556,Stop,-0.509257701772,-0.848762836287,6,5017,2,0.4049684424,3,0.613722163652,3,0.628267976863,1,0.59239002571,1
5006,2019-12-14 10:00:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,2,42810,42815,7128.3,7097.57666667,Stop,-0.431005054969,-0.718341758281,5,5018,2,0.30292394463,3,0.503965642054,3,0.491312505938,1,0.634848123936,1
5007,2019-12-14 10:15:00,2019-12-14 11:15:00,2019-12-14 09:30:00,42808,3,42811,42815,7134.3,7097.51755556,Stop,-0.515571877331,-0.859286462219,4,5019,2,0.417661758646,3,0.534269560228,3,0.617891293892,1,0.770064956196,1
5008,2019-12-14 11:30:00,2019-12-14 12:45:00,2019-12-14 11:30:00,42816,0,42816,42821,7104.3,7093.44533333,Stop,-0.152790094262,-0.254650157104,5,5020,2,0.281868357547,5,0.2722259175,3,0.324160656219,1,0.443612082073,1
5009,2019-12-14 11:45:00,2019-12-14 12:45:00,2019-12-14 11:30:00,42816,1,42817,42821,7113.5,7093.14555556,Stop,-0.286138250431,-0.476897084052,4,5021,2,0.360717132837,5,0.428481876328,3,0.685129630122,1,0.759298332486,1
5010,2019-12-14 12:00:00,2019-12-14 13:00:00,2019-12-14 11:30:00,42816,2,42818,42822,7126.5,7088.50355556,Stop,-0.533171184234,-0.88861864039,4,5022,2,0.377079056137,1,0.521448643845,3,0.345856583141,1,0.429186528429,1
5011,2019-12-14 12:15:00,2019-12-14 13:00:00,2019-12-14 11:30:00,42816,3,42819,42822,7116.8,7086.59088889,Stop,-0.424476044165,-0.707460073608,3,5023,2,0.370040011247,2,0.606695436613,3,0.783847435369,1,0.603314367833,1
