method,fold,train_size,test_size,train_positive_rate,test_positive_rate,roc_auc,f1
random_kfold,1,20006,5002,0.262521243627,0.257896841263,0.856957949078,0.643250688705
random_kfold,2,20006,5002,0.262271318604,0.258896441423,0.867095435641,0.668290985033
random_kfold,3,20006,5002,0.261871438568,0.260495801679,0.869347401976,0.667598741699
random_kfold,4,20007,5001,0.259809066827,0.26874625075,0.861991679362,0.667561221067
random_kfold,5,20007,5001,0.261508472035,0.261947610478,0.858569534725,0.655726256983
grouped_kfold,1,20004,5004,0.263797240552,0.252797761791,0.720148377269,0.487594390507
grouped_kfold,2,20004,5004,0.262897420516,0.256394884093,0.73339892414,0.49590469099
grouped_kfold,3,20008,5000,0.256097560976,0.2836,0.743600465893,0.539238033214
grouped_kfold,4,20008,5000,0.262145141943,0.2594,0.723048119312,0.477337110482
grouped_kfold,5,20008,5000,0.263044782087,0.2558,0.763412401225,0.528769118718
walk_forward,1,5001,5002,0.276344731054,0.257297081168,0.611951380457,0.269902912621
walk_forward,2,10003,5001,0.266819954014,0.239152169566,0.550869741011,0.260457093575
walk_forward,3,15004,5002,0.257597973874,0.286085565774,0.557694456528,0.374665477252
walk_forward,4,20006,5002,0.264720583825,0.249100359856,0.629320321301,0.409989594173
purged_walk_forward,1,4980,5002,0.277510040161,0.257297081168,0.61850244865,0.271152894607
purged_walk_forward,2,10000,5001,0.2668,0.239152169566,0.559010982733,0.259112867809
purged_walk_forward,3,14996,5002,0.257468658309,0.286085565774,0.551927447227,0.368072289157
purged_walk_forward,4,20004,5002,0.264647070586,0.249100359856,0.628695745448,0.400409976085
